Number,Name,Formula,MW,ref,Valence,Mobility,pKa,deltaH,deltaCp,Valence,Mobility,pKa,deltaH,deltaCp,Valence,Mobility,pKa,deltaH,deltaCp,
1,"1,1-CYCLOBUTANEDICARBOXYLIC ACID",C5H8O2,144.13,"c (C124, p.70)",-1,2.55E-08,2.922,-1084,,-2,5.11E-08,5.454,-3368,,,,,,,
2,"1,1-CYCLOHEXANEDICARBOXYLIC ACID",C8H12O4,172.128,"c (C33, p.72)",-1,2.40E-08,3.27,-4372,,-2,4.80E-08,5.683,331,,,,,,,
3,"1,1-CYCLOPENTANEDICARBOXYLIC ACID",C7H10O4,158.154,"c (C41, p.73)",-1,2.50E-08,3.081,-264,,,,,,,,,,,,
4,"2,4-DINITROPHENOL",C6H4O5N2,184.11,"c (P60, p.144)",-1,3.13E-08,4.08,9414,,,,,,,,,,,,
5,"2,5-DINITROPHENOL",C6H4O5N2,184.11,"c (P61, p.144)",-1,3.13E-08,3.73,5146,,,,,,,,,,,,
6,2-AMINO-2-METHYL-1-PROPANOL,C4H11NO,89.137,g,1,3.33E-08,9.694,54050,-21,,,,,,,,,,,
7,2-CHLOROPROPIONIC ACID,C3H5ClO2,108.52,"c (P157, p.162)",-1,3.69E-08,3.992,1339,,,,,,,,,,,,
8,"glutaric acid",C7H12O4,160.17,"c (P9, p.131)",-1,2.50E-08,3.7,-12552,,-2,5.00E-08,6.34,-10460,,,,,,,
9,"3,5-DINITROPHENOL",C6H4O5N2,184.11,"c (P63, p.144)",-1,3.13E-08,6.732,15719,,,,,,,,,,,,
10,3-IODOPROPIONIC ACID,C3H5O2I,199.98,"c (P171, p.164)",-1,3.65E-08,4.08,-5774,,,,,,,,,,,,
11,3-METHYLPYRIDINE,C6H7N,93.13,"c (P271, p.177)",1,4.01E-08,5.66,26738,,,,,,,,,,,,
12,ACETIC ACID,C2H402,60.05,g,-1,4.24E-08,4.756,-410,-142,,,,,,,,,,,
13,ACRYLIC ACID,C3H4O2,72.06,"c (P185, p.166)",-1,4.27E-08,4.247,1862,,,,,,,,,,,,
14,ADIPIC ACID,C6H10O4,146.14,"c (H15, p.100)",-1,2.46E-08,4.43,-4184,,-2,5.24E-08,5.412,-2678,,,,,,,
15,ADP,C10H15N5O10P2,427.201,c A50 (p. 11) ,-2,3.67E-08,4.2,17154,,-3,5.37E-08,7,-5439,,,,,,,
16,ALANINE,C3H7O2N,89.09,"c (A53, p.11)",1,3.40E-08,2.35,3368,,-1,3.22E-08,9.74,44936,,,,,,,
17,ALLYLAMINE,C3H7N,57.09,"c (P184, p.166)",1,4.43E-08,9.691,53932,,,,,,,,,,,,
18,ammonium,NH3,17.031,g,1,7.62E-08,9.245,51950,8,,,,,,,,,,,
19,AMP,C10H14N5O7P,347.22,"c (A51, p.11)",-1,2.26E-08,3.82,17573,,-2,3.95E-08,6.4,-7531,,,,,,,
20,ANILINE,C6H7N,93.13,"c (A98, p.19)",1,3.00E-08,4.596,29748,,,,,,,,,,,,
21,ARGININE,C6H14N2O2,174.2,"c (A144, p.26)",2,5.33E-08,1.8374,4686,,1,2.69E-08,8.8589,44685,,-1,2.69E-08,12.48,51882,,
22,arsenic acid,H3AsO4,141.94,g,-1,3.52E-08,2.31,-7800,,-2,7.00E-08,7.05,1700,,,,,,,
23,ASPARAGINE,C4H8N2O3,132.12,"c (A149, p.27)",1,3.06E-08,2.14,4728,,-1,3.16E-08,9.21,39915,,,,,,,
24,ASPARTIC ACID,C4H7NO4,133.1,"c (A151, p.27)",1,2.65E-08,2.05,77404,,-1,3.01E-08,3.9,4602,,-2,5.53E-08,10.002,37761,,
25,B-ALANINE,C3H7O2N,89.09,"c (A54, p.12)",1,3.85E-08,3.55,4937,,-1,3.08E-08,10.235,47154,,,,,,,
26,BENZOIC ACID,C7H6O2,122.12,"c (B101, p.41)",-1,3.36E-08,4.203,628,,,,,,,,,,,,
27,BENZYLAMINE,C7H9N,107.15,"c (T37, p.197)",1,3.47E-08,9.35,54308,,,,,,,,,,,,
28,BIS-TRIS,C8H19NO5,209.24,g,1,2.60E-08,6.484,28400,27,,,,,,,,,,,
29,BORIC ACID,H3BO3,61.83,g,-1,3.65E-08,9.237,13800,-240,,,,,,,,,,,
30,BROMIC ACID,HBrO3,128.91,"c (B186, p.59)",-1,5.78E-08,1.013,5464,,,,,,,,,,,,
31,BROMOACETIC ACID,C2H3BrO2,138.95,"c (A6, p.5)",-1,4.06E-08,2.901,-5020,,,,,,,,,,,,
32,BUTYRIC ACID,C4H8O2,88.11,"c (P174, p.164)",-1,3.38E-08,4.85,-3096,,,,,,,,,,,,
33,cacodylic acid,C2H6ASO2,138,g,-1,2.99E-08,6.28,-3000,-86,,,,,,,,,,,
34,CAPROIC ACID,C6H12O2,116.1,"c (H19, p.100)",-1,3.02E-08,4.86,-2391,,,,,,,,,,,,
35,CAPRYLIC ACID,C8H16O2,144.21,"c (O9, p.129)",-1,2.74E-08,4.895,-2594,,,,,,,,,,,,
36,carbonic acid,H2CO3,44.01,g,-1,4.61E-08,6.351,9150,-371,-2,7.18E-08,10.329,14700,-249,,,,,,
37,CHES,C8H17NO3S,207.29,g,-1,2.50E-08,9.394,39550,9,,,,,,,,,,,
38,CINNAMIC ACID,C9H8O2,148.16,"c (C14, p.69)",-1,2.83E-08,4.404,2510,,,,,,,,,,,,
39,citric acid,C6H8O7,192.13,g,-1,2.87E-08,3.128,4070,-131,-2,5.47E-08,4.761,2230,-178,-3,7.44E-08,6.396,-3380,-254,
40,CYANIC ACID,CHON,43.03,"c (C21, p.70)",-1,6.70E-08,3.47,10376,,,,,,,,,,,,
41,CYSTEINE,C3H7NO2S,121.16,"c (C47, p.73)",1,2.92E-08,2.44,297,,-1,3.17E-08,8.54,31300,,-2,6.27E-08,10.53,39330,,
42,DIETHYLACETIC ACID,C6H12O2,116.16,"c (B217, p.63)",-1,3.03E-08,4.751,-8242,,,,,,,,,,,,
43,DIETHYLAMINE,C4H11N,73.14,"c (A75, p.14)",1,3.64E-08,10.93,53262,,,,,,,,,,,,
44,DIMETHYLAMINE,C2H7N,45.08,"c (A83, p.15)",1,5.39E-08,10.77,49706,,,,,,,,,,,,
45,E-AMINOCAPROIC ACID,C6H13NO2,131.173,"c (H21, p.101)",1,2.88E-08,4.373,-33,,,,,,,,,,,,
46,ETHANOLAMINE,C2H7NO,61.08,g,1,4.43E-08,9.498,50520,26,,,,,,,,,,,
47,ETHYLAMINE,C2H7N,45.08,"c (E3, p.79)",1,4.89E-08,10.63,57362,,,,,,,,,,,,
48,FORMIC ACID,CH2O2,46.03,"c (F6, p.88)",-1,5.66E-08,3.752,-335,,,,,,,,,,,,
49,GALLIC ACID,C7H6O5,170.12,"c (B157, p.55)",-1,3.44E-08,4.404,3067,,,,,,,,,,,,
50,GLUCOSE,C6H12O6,180.16,"c (G3, p.91)",-1,3.00E-08,12.28,36694,,,,,,,,,,,,
51,GLUTAMIC ACID,C5H9NO4,147.13,"c (G9, p.92)",1,2.76E-08,2.162,-267,,-1,2.74E-08,4.272,1561,,-2,5.43E-08,9.51,40584,,
52,GLUTAMINE,C5N10N2O3,146.14,"c (G12, p.92)",1,2.81E-08,2.15,3431,,-1,2.88E-08,9.412,40459,,,,,,,
53,GLYCINE,C2H5NO2,75.067,g,1,3.95E-08,2.351,4000,-139,-1,3.74E-08,9.78,44200,-57,,,,,,
54,GLYCOLIC ACID,C2H4O3,76.05,"c (A16, p.6)",-1,4.24E-08,3.831,628,,,,,,,,,,,,
55,HEPES,C8H18N2O4S,238.3012,g,-1,2.35E-08,7.564,20400,47,,,,,,,,,,,
56,HISTIDINE,C6H9N3O2,155.15,g,2,4.47E-08,1.5,3600,,1,2.88E-08,6.07,29500,176,-1,2.83E-08,9.34,43800,-233,
57,HYDROCHLORIC ACID,HCl,36.46,"c (H34, p.106)",-1,7.91E-08,-2,55815,,,,,,,,,,,,
58,HYDROGEN SULFIDE,H2S,34.08,"c (H38, p.107)",-1,6.74E-08,6.96,22175,,,,,,,,,,,,
59,IMIDAZOLE,C3H4N2,68.077,g,1,5.20E-08,6.993,36640,-9,,,,,,,,,,,
60,ISOBUTYRIC ACID,C4H8O2,88.11,"c (P174, p.164)",-1,3.44E-08,4.8486,3343,,,,,,,,,,,,
61,ISOCAPROIC ACID,C6H12O2,116.158,"c (P22, p.22)",-1,3.03E-08,4.845,-2552,,,,,,,,,,,,
62,ISOLEUCINE,C6H13NO2,131.17,"c (P18, p.134)",1,2.83E-08,2.32,1259,,-1,2.67E-08,9.758,45312,,,,,,,
63,ISOVALERIC ACID,C5H10O2,102.13,"c (B223, p.64)",-1,3.21E-08,4.781,-5100,,,,,,,,,,,,
64,TARTARIC ACID,C4H6O6,150.09,g,-1,3.26E-08,3.036,3190,-147,-2,6.07E-08,4.366,930,-218,,,,,,
65,LACTIC ACID,C3H6O3,90.08,"c (P168, p.164)",-1,3.65E-08,3.858,-427,,,,,,,,,,,,
67,LEUCINE,C6H13NO2,131.17,"c (L1, p.113)",1,2.76E-08,2.348,35982,,-1,2.63E-08,9.744,45606,,,,,,,
68,LYSINE,C6H14O2N2,146.19,"c (L4, p.113)",2,5.93E-08,2.18,1255,,1,2.76E-08,9.116,44685,,-1,2.64E-08,10.55,48702,,
69,MAGNESIUM,Mg,24.305,s,2,5.50E-07,11.4,,,1,2.75E-07,12.2,,,,,,,,
